german,translation
Montanvergletscher,горный ледник
Im Sattel eines Pferdes hinter mich,в седле лошади подо мной
Sich mieten (te; t) + D,арендовать
Maulesel,мул
Die Trittsicherheit,"уверенная подходка, уверенные ноги"
Der Pfad (en),тропа
Rau,"шороховатый, грубый, хриплый, воспалённый"
Sich verletzen (te; t),"повредиться, пораниться, изучевиться"
Weniger leicht,"менее легко, сложнее (контекст: меньше)"
Verbringen (a; a),проводить
Herrlich,"чудесный, “божественный”"
Mitte August,в середине августа
Wegen + D,из-за чего-то …
Vergehen (a; a),проходить
Der Tod,смерть
Seit dem Tode,со времени смерти
Das Leid,страдание (tut mir leid - мне жаль)
Seit jener Zeit,с того времени
Die Last,"тяжесть, груз"
Die Last auf meiner Seele,тяжесть на моей душе
Werden,wurde - geworden - становиться
Je … Desto,Чем … тем
Die Schlucht,ущелье
Eindringen (a; u),проникать
Gewaltig,"огромный, величественный"
Neben + D,около чего-то
Das Getöse des Flusses,грохот реки
Das Brausen der Wasserfälle,рёв водопадов
Gleichen,D - быть подобным чему-то
"Die Kraft, die der Allmacht glich","cила, подобная всевластию"
Ich gehe gleich wieder,я сейчас (сразу) ухожу
Aufragen (te; t),возвышаться
Weichen (i; i),"отступать, оставлять"
Sich beugen (te; t) + D,подчиниться
Das Wesen,существо
Allmächtig,всемогущий
Der Schöpfer und Herrscher,творец и владыка
Herrschen über + A,"владычествовать над, повелевать чем-то"
Die Gestalt,облик
Beeindrucken (te; t),производить впечатление
Beeindrickend,впечатляющий
Das Tal,долина
Verfallene Burge,разрушенные крепости
Kleben (te; t),висеть
An den bewaldeten Talhängen,на лесистых склонах долины
Ungestüm,неистовый
Hier und da,"тут и там, то тут то там"
Hervorlugen (te; t),выглядывать
Das Bild erleben,складываться в картину
Etwas Einzigartiger Schönheit,что-то уникальной красоты (родительный падеж)
Weißleuchende Zacken und Gipfel,блестящие зубцы и вершины
Überragen (te; t),"выступать над, также превосходить"
Angehören (te; t) an + D,принадлежать к
Lassen (ie; a) erscheinen,позволять казаться
Überquerten (te; t),пересекать
Die Brücke (n),мост
Die ausgewaschene Schlucht,вымытое ущелье
Sich öffnen (te; t),"открываться, показываться (вид)"
Sich daran machen (te; t),начинать что-то делать
Erklimmen (o; o),"подниматься, взбираться"
Der Haus steht… Daneben gibt´s ein Park,"рядом, возле этого есть парк"
Er ist klug. Daneben ist er auch hübsch,"… кроме того, он ещё и…"
Bald darauf,вскоре после этого
